"predictorNameUnit","BRT KDE","BRT TARGET","GLM KDE","GLM TARGET","MARS KDE","MARS TARGET","MAXENT KDE","MAXENT TARGET","RF KDE","RF TARGET"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,0.88686666152542,3.85709769206449,NA,8.95644418016947,0.483916880159392,1.58052684228075,0,0.223713646532414
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,2.60854476748671,9.8719570028454,3.41628412660063,5.02452802140628,-0.0237214156941124,-1.55385128376126,0,1.81208053691283
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,0.204364926351509,0.906312572452313,NA,NA,0.0759085302210806,0.366788929643212,0.124316260566869,0.447427293064827
"Depth To Restriction Layer (Mean) (cm)",5.37354291769691,NA,2.06100100254493,3.4092106649805,NA,2.82443882860114,1.50393775500522,1.81393797932645,0.546991546494277,0.894854586129778
"Evapotranspiration (Apr-Oct) (mm)",13.321264570823,NA,4.29359142438498,2.4870903151017,5.65837158733994,4.45964025568604,3.32574248031121,1.7405801933978,3.6051715564396,1.65548098433996
"Human Influence Index (index of 0-64)",NA,NA,1.44212231048046,1.63873959321319,NA,NA,1.43751779106176,3.86795598532842,3.43112879164592,0.738255033557039
"Isothermality (Bio3) (percent)",NA,NA,8.84360299221099,11.7636210348825,1.25634211162116,NA,1.89296897238827,4.70156718906303,0,2.21476510067112
"Landscape Condition Model (index of  0-1)",54.8436948074886,8.70913190529878,19.6479524947945,3.62525028980926,59.6230973665137,8.13141073286755,52.4006072682418,9.41647215738578,87.5186474390851,8.68008948545859
"Maxiumum Mean Temperature Summer (degree C)",NA,NA,4.67725765404488,NA,NA,NA,1.75538476136255,NA,0.124316260566869,NA
"Mean Diurnal Range (Bio2) (degree C)",NA,4.77733934611048,9.00362458548623,10.1222468120982,3.6143996134332,4.63059313215401,2.59512287693328,1.73391130376792,0.198906016906935,2.90827740492175
"Mean Growing Season Precipitation (Apr-Oct) (mm)",11.1842105263158,NA,11.6815763090923,NA,2.02464363372794,NA,2.30097732232658,NA,0.273495773247138,NA
"Mean PET (Oct-Jun) (mm)",NA,7.65924464487034,6.59558880234441,6.33628411845294,NA,NA,3.81914792674827,5.92197399133045,0.273495773247138,4.74272930648771
"Mean Summer PET (mm)",NA,16.0583427282976,4.88162258039639,9.79555274528402,NA,17.2885387245429,2.8086156181801,9.24974991663889,1.09398309298855,25.3914988814318
"Mean Temperature Spring (degree C)",15.2772871776757,28.9247463359639,11.0067864579317,13.2600906312572,9.16646532978981,24.4611268024379,10.2429072967075,31.4371457152384,1.29288910989563,25.6599552572707
"Mean Tree Cover (percent)",NA,NA,6.09817228348886,10.4278638423438,9.87678183136024,6.16173628660622,8.54919821614955,7.83594531510505,1.09398309298855,3.82550335570467
"Percent Calcium Carbonate In Soil (percent)",NA,21.3782412626832,0.0173517390298516,6.15186004847719,3.41145204155593,18.0615430355285,1.05323085681754,13.191063687896,0.248632521133737,17.6286353467561
"Percent Sand (0-5 cm) (percent)",NA,12.4929537767756,6.04997300840595,6.34682263673727,1.9521623580575,NA,5.77853686307997,8.69623207735913,0.174042764793671,3.17673378076069
