"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","yellowstarThistle","BLM","Medford District Office",2919954,3057476,0.96,"Yes (7309)",0
"2","yellowstarThistle","BLM","Prineville District Office",11664101,13040676,0.89,"Yes (425)",0
"3","yellowstarThistle","BLM","Vale District Office",13222755,15222990,0.87,"Yes (1749)",0
"4","yellowstarThistle","BLM","Roseburg District Office",2283213,2690213,0.85,"Yes (423)",0
"5","yellowstarThistle","BLM","Burns District Office",4919709,5771475,0.85,"Yes (12)",0
"6","yellowstarThistle","BLM","Lakeview District Office",7799227,9125689,0.85,"Yes (229)",0
"7","yellowstarThistle","BLM","Twin Falls District Office",7587981,9049768,0.84,"Yes (3)",0
"8","yellowstarThistle","BLM","Boise District Office",10275026,12476806,0.82,"Yes (189)",0
"9","yellowstarThistle","BLM","Nw Oregon District Office",9015318,11107437,0.81,"Yes (7)",0
"10","yellowstarThistle","BLM","Northern California District",20781421,25799100,0.81,"Yes (1021)",0
"11","yellowstarThistle","BLM","Canyon Country",5649106,7441948,0.76,"Yes (1)",0
"12","yellowstarThistle","BLM","Winnemucca District",8380270,11321783,0.74,"Yes (19)",0
"13","yellowstarThistle","BLM","Grand Staircase Escalante Nat Monument",1338427,1881970,0.71,"0",19
"14","yellowstarThistle","BLM","Elko District",8560705,12225080,0.7,"Yes (5)",0
"15","yellowstarThistle","BLM","Color Country",9594868,13718194,0.7,"Yes (14)",0
"16","yellowstarThistle","BLM","Southwest District Office",7168166,10688655,0.67,"Yes (151)",0
"17","yellowstarThistle","BLM","Carson City District",5920814,8943177,0.66,"Yes (244)",0
"18","yellowstarThistle","BLM","Albuquerque District Office",11949380,18192033,0.66,"Yes (4)",0
"19","yellowstarThistle","BLM","West Desert",13802565,22058534,0.63,"Yes (1037)",0
"20","yellowstarThistle","BLM","Coos Bay District Office",1934308,3066521,0.63,"Yes (96)",0
"21","yellowstarThistle","BLM","Spokane District Office",28118718,45535045,0.62,"Yes (182)",0
"22","yellowstarThistle","BLM","Arizona Strip District Office",3108066,5049201,0.62,"0",14
"23","yellowstarThistle","BLM","Battle Mountain District",8187607,13487090,0.61,"Yes (1)",0
"24","yellowstarThistle","BLM","Coeur D'alene District Office",8268876,13798609,0.6,"Yes (892)",0
"25","yellowstarThistle","BLM","Central California District",26392620,44587440,0.59,"Yes (911)",0
"26","yellowstarThistle","BLM","Ely District",7062448,12876221,0.55,"Yes (6)",0
"27","yellowstarThistle","BLM","Farmington District Office",11868631,23359098,0.51,"Yes (3)",0
"28","yellowstarThistle","BLM","Phoenix District Office",16310941,33183750,0.49,"Yes (96)",0
"29","yellowstarThistle","BLM","Idaho Falls District Office",8446096,18237976,0.46,"Yes (2)",0
"30","yellowstarThistle","BLM","Green River",4285993,9229924,0.46,"Yes (3)",0
"31","yellowstarThistle","BLM","Gila District Office",9593976,22174577,0.43,"Yes (95)",0
"32","yellowstarThistle","BLM","Western Montana District Office",11714947,29542704,0.4,"Yes (2)",0
"33","yellowstarThistle","BLM","Southeastern States  District Office",139486416,347054542,0.4,"Yes (2)",0
"34","yellowstarThistle","BLM","Northwest District Office",3598524,12914979,0.28,"0",12
"35","yellowstarThistle","BLM","Southern Nevada District",2622347,9910954,0.26,"0",45
"36","yellowstarThistle","BLM","California Desert District",6744586,32715963,0.21,"Yes (69)",0
"37","yellowstarThistle","BLM","Rocky Mountain District Office",8813874,43012513,0.2,"Yes (6)",0
"38","yellowstarThistle","BLM","Northeastern States District Office",90007344,470278322,0.19,"Yes (5)",0
"39","yellowstarThistle","BLM","Pecos District Office",3849642,20229604,0.19,"0",2
"40","yellowstarThistle","BLM","Las Cruces District Office",2343021,16040602,0.15,"Yes (28)",0
"41","yellowstarThistle","BLM","High Desert District",3407407,25349045,0.13,"0",32
"42","yellowstarThistle","BLM","Wind River Bighorn Basin District",1623450,16307924,0.1,"0",48
"43","yellowstarThistle","BLM","Colorado River District Office",848619,12837842,0.07,"0",26
"44","yellowstarThistle","BLM","North Central Montana District Office",1164281,27943288,0.04,"Yes (1)",0
"45","yellowstarThistle","BLM","High Plains District",1163378,70447274,0.02,"0",78
"46","yellowstarThistle","BLM","Eastern Montana/Daks District Office",1144162,131224179,0.01,"Yes (1)",0
"47","yellowstarThistle","EPMT","Southeast",56813932,68436190,0.83,"Yes (1)",0
"48","yellowstarThistle","EPMT","Mid-Atlantic",25737430,33307472,0.77,"0",74
"49","yellowstarThistle","EPMT","North Coast/Cascades",51179556,69548751,0.74,"Yes (3072)",0
"50","yellowstarThistle","EPMT","California",44047532,68159651,0.65,"Yes (1756)",0
"51","yellowstarThistle","EPMT","National Capital Region",1373026,2953143,0.46,"0",162
"52","yellowstarThistle","EPMT","Lake Mead",39668253,87904597,0.45,"Yes (170)",0
"53","yellowstarThistle","EPMT","Southwest",79628188,212434430,0.37,"Yes (223)",0
"54","yellowstarThistle","EPMT","Heartland",48949712,156900528,0.31,"0",45
"55","yellowstarThistle","EPMT","Northern Rocky Mountain",48891597,178895171,0.27,"Yes (398)",0
"56","yellowstarThistle","EPMT","Southeast Coast",10853263,44612659,0.24,"0",195
"57","yellowstarThistle","EPMT","Northeast",8388356,44544974,0.19,"Yes (1)",0
